"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"TCS","EQ","02-Aug-2021","       3167.45","       3180.00","       3224.90","       3167.00","       3220.00","       3219.40","       3199.51","    2608669","          8346453822.50","     112175"
"TCS","EQ","03-Aug-2021","       3219.40","       3229.00","       3290.00","       3218.95","       3278.50","       3284.90","       3265.75","    3804735","         12425311115.35","     169947"
"TCS","EQ","04-Aug-2021","       3284.90","       3300.00","       3305.20","       3261.20","       3275.00","       3273.95","       3280.85","    2929598","          9611565427.20","      97356"
"TCS","EQ","05-Aug-2021","       3273.95","       3275.00","       3315.00","       3262.50","       3282.15","       3283.95","       3291.59","    2534521","          8342597223.05","     101103"
"TCS","EQ","06-Aug-2021","       3283.95","       3272.55","       3324.00","       3265.00","       3311.00","       3309.80","       3299.35","    2292362","          7563309162.25","     102596"
"TCS","EQ","09-Aug-2021","       3309.80","       3323.90","       3337.00","       3310.00","       3321.00","       3322.70","       3323.80","    1510489","          5020566711.25","      96243"
"TCS","EQ","10-Aug-2021","       3322.70","       3315.60","       3349.90","       3315.60","       3330.50","       3333.90","       3334.47","    2040777","          6804914788.20","     100513"
"TCS","EQ","11-Aug-2021","       3333.90","       3350.00","       3360.00","       3327.10","       3348.00","       3344.20","       3344.63","    1929707","          6454161673.50","     104272"
"TCS","EQ","12-Aug-2021","       3344.20","       3326.00","       3368.00","       3326.00","       3347.00","       3351.75","       3353.87","    1310205","          4394255743.65","      84190"
"TCS","EQ","13-Aug-2021","       3351.75","       3360.75","       3480.00","       3357.50","       3456.05","       3463.40","       3438.94","    4363584","         15006082710.35","     217264"
"TCS","EQ","16-Aug-2021","       3463.40","       3460.00","       3494.35","       3436.50","       3464.75","       3472.95","       3470.40","    2083489","          7230549749.25","     120736"
"TCS","EQ","17-Aug-2021","       3472.95","       3482.10","       3560.80","       3463.00","       3548.00","       3553.05","       3523.43","    4336019","         15277648941.65","     189016"
"TCS","EQ","18-Aug-2021","       3553.05","       3573.85","       3595.00","       3536.60","       3559.80","       3560.55","       3564.21","    2631309","          9378550368.20","     190233"
"TCS","EQ","20-Aug-2021","       3560.55","       3506.00","       3575.00","       3500.00","       3551.60","       3559.50","       3553.61","    2836148","         10078573269.05","     146932"
"TCS","EQ","23-Aug-2021","       3559.50","       3580.00","       3673.00","       3561.90","       3635.00","       3637.40","       3636.99","    3744176","         13617518913.15","     182578"
"TCS","EQ","24-Aug-2021","       3637.40","       3657.00","       3667.35","       3594.40","       3615.05","       3613.20","       3626.54","    2511141","          9106741534.10","     140873"
"TCS","EQ","25-Aug-2021","       3613.20","       3610.00","       3697.75","       3607.05","       3665.00","       3659.00","       3667.15","    2123263","          7786317794.00","     132939"
"TCS","EQ","26-Aug-2021","       3659.00","       3660.00","       3687.60","       3647.90","       3655.00","       3671.85","       3666.49","    1902533","          6975627265.60","     111272"
"TCS","EQ","27-Aug-2021","       3671.85","       3666.00","       3729.50","       3651.10","       3715.00","       3720.15","       3704.47","    3944728","         14613115000.85","     146958"
"TCS","EQ","30-Aug-2021","       3720.15","       3715.00","       3740.35","       3687.60","       3709.00","       3701.30","       3717.61","    2033114","          7558326821.90","     120886"
"TCS","EQ","31-Aug-2021","       3701.30","       3709.40","       3804.10","       3703.45","       3797.90","       3786.45","       3763.43","    3207480","         12071111288.25","     118247"
"TCS","EQ","01-Sep-2021","       3786.45","       3796.00","       3816.70","       3707.00","       3715.00","       3714.95","       3742.07","    2643336","          9891548398.70","     159880"
"TCS","EQ","02-Sep-2021","       3714.95","       3734.00","       3859.15","       3722.00","       3827.90","       3836.75","       3798.12","    3403717","         12927723346.45","     147951"
"TCS","EQ","03-Sep-2021","       3836.75","       3825.00","       3856.90","       3804.55","       3835.00","       3842.05","       3830.31","    1746812","          6690825623.35","     110739"
"TCS","EQ","06-Sep-2021","       3842.05","       3849.70","       3877.60","       3814.00","       3847.90","       3852.00","       3842.72","    1723693","          6623670538.95","     111169"
"TCS","EQ","07-Sep-2021","       3852.00","       3864.00","       3869.95","       3808.25","       3823.85","       3815.90","       3834.63","    1585039","          6078043781.70","      97123"
"TCS","EQ","08-Sep-2021","       3815.90","       3810.00","       3815.00","       3756.00","       3777.00","       3774.15","       3798.07","    4147175","         15751252747.10","     122519"
"TCS","EQ","09-Sep-2021","       3774.15","       3789.70","       3808.70","       3765.00","       3793.00","       3791.40","       3787.10","    1441148","          5457774387.45","     124377"
"TCS","EQ","13-Sep-2021","       3791.40","       3767.00","       3852.40","       3767.00","       3841.50","       3845.35","       3828.30","    1691473","          6475463794.90","     109836"
"TCS","EQ","14-Sep-2021","       3845.35","       3849.95","       3896.50","       3825.00","       3880.10","       3885.90","       3873.73","    1991188","          7713316318.10","     104679"
"TCS","EQ","15-Sep-2021","       3885.90","       3882.10","       3980.00","       3866.00","       3950.00","       3954.55","       3929.40","    2461369","          9671698399.65","     120015"
"TCS","EQ","16-Sep-2021","       3954.55","       3930.00","       3981.75","       3892.10","       3903.05","       3903.30","       3931.95","    2946666","         11586139448.20","     123851"
"TCS","EQ","17-Sep-2021","       3903.30","       3920.00","       3945.00","       3805.00","       3826.55","       3827.85","       3851.08","    6477148","         24944046353.10","     155142"
"TCS","EQ","20-Sep-2021","       3827.85","       3809.00","       3871.00","       3807.85","       3820.05","       3823.50","       3837.22","    2002008","          7682147330.75","     120832"
"TCS","EQ","21-Sep-2021","       3823.50","       3858.00","       3871.55","       3821.65","       3861.95","       3862.95","       3850.74","    1568129","          6038455605.45","      99059"
"TCS","EQ","22-Sep-2021","       3862.95","       3862.50","       3896.85","       3852.45","       3856.75","       3862.15","       3873.71","    1744067","          6756003293.95","      93000"
"TCS","EQ","23-Sep-2021","       3862.15","       3870.00","       3879.00","       3835.00","       3872.00","       3869.25","       3859.54","    2003869","          7734019886.40","     131024"
"TCS","EQ","24-Sep-2021","       3869.25","       3890.00","       3944.40","       3855.00","       3878.75","       3871.30","       3908.95","    2320754","          9071718889.85","     185756"
"TCS","EQ","27-Sep-2021","       3871.30","       3900.00","       3904.00","       3802.90","       3839.00","       3836.95","       3842.81","    1673362","          6430415744.60","     126569"
"TCS","EQ","28-Sep-2021","       3836.95","       3850.00","       3850.00","       3751.25","       3777.05","       3779.15","       3784.75","    2253075","          8527330472.40","     140925"
"TCS","EQ","29-Sep-2021","       3779.15","       3759.80","       3806.00","       3722.15","       3794.55","       3791.90","       3767.14","    2489161","          9377015958.30","     138418"
"TCS","EQ","30-Sep-2021","       3791.90","       3805.00","       3805.00","       3750.10","       3778.70","       3775.55","       3773.28","    2252412","          8498981489.30","     145940"
"TCS","EQ","01-Oct-2021","       3775.55","       3781.75","       3810.00","       3725.00","       3728.65","       3730.20","       3747.99","    1578374","          5915725343.65","     132388"
"TCS","EQ","04-Oct-2021","       3730.20","       3724.80","       3783.65","       3707.45","       3779.00","       3773.30","       3762.58","    1356860","          5105290641.50","      82301"
"TCS","EQ","05-Oct-2021","       3773.30","       3754.00","       3840.00","       3741.60","       3839.10","       3833.30","       3785.15","    1877966","          7108385858.15","     107053"
"TCS","EQ","06-Oct-2021","       3833.30","       3836.00","       3857.45","       3795.00","       3813.80","       3810.90","       3830.18","    1678154","          6427634316.05","     105524"
"TCS","EQ","07-Oct-2021","       3810.90","       3830.00","       3899.00","       3820.05","       3898.00","       3892.90","       3868.01","    1647233","          6371521151.00","     100510"
"TCS","EQ","08-Oct-2021","       3892.90","       3925.00","       3989.90","       3900.00","       3943.00","       3935.65","       3947.83","    2934339","         11584283174.70","     178433"
"TCS","EQ","11-Oct-2021","       3935.65","       3755.00","       3757.50","       3660.00","       3687.95","       3685.60","       3702.67","   11845402","         43859658074.25","     704881"
"TCS","EQ","12-Oct-2021","       3685.60","       3706.00","       3707.00","       3630.60","       3656.20","       3652.85","       3658.54","    5752877","         21047120430.00","     371571"
"TCS","EQ","13-Oct-2021","       3652.85","       3650.00","       3675.45","       3645.00","       3658.05","       3655.20","       3655.85","    3545655","         12962366655.15","     228263"
"TCS","EQ","14-Oct-2021","       3655.20","       3625.00","       3670.00","       3608.20","       3614.80","       3611.45","       3626.77","    6442299","         23364720249.30","     406019"
"TCS","EQ","18-Oct-2021","       3611.45","       3603.45","       3652.70","       3601.45","       3649.00","       3647.15","       3631.23","    3590107","         13036517799.15","     213590"
"TCS","EQ","19-Oct-2021","       3647.15","       3669.00","       3690.10","       3625.20","       3634.45","       3634.15","       3661.85","    3135441","         11481500581.85","     191609"
"TCS","EQ","20-Oct-2021","       3634.15","       3612.00","       3630.00","       3578.30","       3607.95","       3608.85","       3606.05","    2933693","         10579039337.05","     175675"
"TCS","EQ","21-Oct-2021","       3608.85","       3604.10","       3607.45","       3511.25","       3532.85","       3532.50","       3546.27","    4871211","         17274650004.55","     295349"
"TCS","EQ","22-Oct-2021","       3532.50","       3560.00","       3561.60","       3485.00","       3501.85","       3498.85","       3511.44","    2691670","          9451650099.45","     163976"
"TCS","EQ","25-Oct-2021","       3498.85","       3503.00","       3514.55","       3450.00","       3491.00","       3492.95","       3477.23","    2595594","          9025471433.60","     139684"
"TCS","EQ","26-Oct-2021","       3492.95","       3494.50","       3529.00","       3475.00","       3485.90","       3482.60","       3494.69","    3878763","         13555085104.10","     155172"
"TCS","EQ","27-Oct-2021","       3482.60","       3483.00","       3511.25","       3483.00","       3488.45","       3489.75","       3495.53","    2510813","          8776620129.00","     122328"
"TCS","EQ","28-Oct-2021","       3489.75","       3518.00","       3518.00","       3415.00","       3423.00","       3421.65","       3450.19","    2424942","          8366511722.10","     187690"
"TCS","EQ","29-Oct-2021","       3421.65","       3400.05","       3461.00","       3385.95","       3404.00","       3397.75","       3424.21","    3960501","         13561601567.60","     241935"
"TCS","EQ","01-Nov-2021","       3397.75","       3437.95","       3487.00","       3412.95","       3482.35","       3476.40","       3445.74","    2020718","          6962871688.90","     154841"
"TCS","EQ","02-Nov-2021","       3476.40","       3494.00","       3513.60","       3469.75","       3484.00","       3484.20","       3490.81","    3087414","         10777567152.90","     134659"
"TCS","EQ","03-Nov-2021","       3484.20","       3504.20","       3519.90","       3466.05","       3488.00","       3492.25","       3492.58","    1537639","          5370327266.85","      98779"
"TCS","EQ","04-Nov-2021","       3492.25","       3512.95","       3513.25","       3505.00","       3508.65","       3508.65","       3509.12","     328991","          1154468248.30","      42244"
"TCS","EQ","08-Nov-2021","       3508.65","       3548.00","       3548.00","       3481.20","       3506.00","       3502.75","       3503.30","    2526082","          8849622221.80","     144893"
"TCS","EQ","09-Nov-2021","       3502.75","       3508.00","       3535.00","       3496.00","       3503.00","       3505.70","       3508.51","    1782692","          6254594395.95","      90441"
"TCS","EQ","10-Nov-2021","       3505.70","       3498.00","       3519.70","       3480.20","       3484.95","       3484.30","       3494.09","    1516489","          5298754955.55","     115924"
"TCS","EQ","11-Nov-2021","       3484.30","       3480.00","       3510.05","       3436.00","       3505.00","       3488.20","       3464.62","    1284514","          4450347031.55","      98386"
"TCS","EQ","12-Nov-2021","       3488.20","       3506.00","       3534.15","       3485.70","       3524.00","       3526.05","       3509.52","    1747259","          6132048785.70","      98323"
"TCS","EQ","15-Nov-2021","       3526.05","       3528.00","       3569.60","       3528.00","       3550.00","       3553.30","       3554.41","    1809157","          6430484084.55","     113981"
"TCS","EQ","16-Nov-2021","       3553.30","       3569.00","       3575.55","       3542.00","       3548.00","       3556.40","       3560.79","    2013204","          7168605743.85","     105284"
"TCS","EQ","17-Nov-2021","       3556.40","       3550.60","       3562.85","       3506.40","       3520.80","       3521.90","       3533.85","    1632914","          5770466506.80","     126358"
"TCS","EQ","18-Nov-2021","       3521.90","       3515.15","       3520.85","       3451.60","       3471.95","       3475.70","       3478.49","    2136598","          7432143867.40","     135284"
"TCS","EQ","22-Nov-2021","       3475.70","       3478.40","       3515.95","       3440.30","       3463.75","       3458.40","       3482.50","    3167936","         11032349106.20","     169460"
"TCS","EQ","23-Nov-2021","       3458.40","       3445.00","       3480.95","       3407.80","       3472.00","       3464.25","       3455.05","    2153461","          7440308037.35","     160137"
"TCS","EQ","24-Nov-2021","       3464.25","       3472.20","       3493.05","       3424.00","       3431.95","       3443.30","       3469.80","    2161746","          7500832834.10","     163891"
"TCS","EQ","25-Nov-2021","       3443.30","       3443.90","       3463.00","       3434.05","       3450.00","       3445.90","       3451.54","    1849619","          6384030188.95","     102359"
"TCS","EQ","26-Nov-2021","       3445.90","       3425.00","       3490.00","       3411.90","       3439.20","       3446.85","       3454.40","    1941251","          6705853480.80","     156945"
"TCS","EQ","29-Nov-2021","       3446.85","       3447.15","       3529.35","       3406.45","       3503.50","       3502.00","       3490.28","    2981745","         10407130645.30","     206893"
"TCS","EQ","30-Nov-2021","       3502.00","       3491.00","       3563.75","       3491.00","       3535.00","       3529.15","       3535.48","    5588446","         19757846113.05","     208979"
"TCS","EQ","01-Dec-2021","       3529.15","       3535.00","       3590.00","       3535.00","       3581.00","       3577.80","       3568.53","    2102118","          7501467334.90","     177235"
"TCS","EQ","02-Dec-2021","       3577.80","       3589.20","       3648.00","       3574.10","       3637.00","       3642.90","       3614.21","    3152938","         11395387802.95","     146031"
"TCS","EQ","03-Dec-2021","       3642.90","       3646.45","       3665.95","       3630.85","       3641.00","       3640.45","       3644.63","    2486263","          9061499107.35","     136470"
"TCS","EQ","06-Dec-2021","       3640.45","       3640.45","       3658.00","       3522.00","       3533.80","       3536.40","       3585.65","    1849642","          6632172778.45","     117199"
"TCS","EQ","07-Dec-2021","       3536.40","       3562.50","       3598.00","       3524.30","       3589.90","       3584.50","       3572.57","    1484458","          5303328386.25","     107141"
"TCS","EQ","08-Dec-2021","       3584.50","       3601.00","       3646.45","       3601.00","       3624.00","       3626.90","       3631.02","    1428660","          5187489131.60","      88625"
"TCS","EQ","09-Dec-2021","       3626.90","       3610.00","       3634.75","       3566.00","       3600.00","       3601.75","       3593.64","    1567957","          5634666502.40","     100995"
"TCS","EQ","10-Dec-2021","       3601.75","       3585.00","       3642.00","       3575.10","       3630.00","       3636.80","       3611.25","    1510718","          5455578667.05","      69648"
"TCS","EQ","13-Dec-2021","       3636.80","       3650.00","       3662.00","       3601.70","       3615.00","       3609.65","       3626.62","    1883864","          6832065637.60","      93875"
"TCS","EQ","14-Dec-2021","       3609.65","       3605.00","       3635.00","       3576.70","       3619.95","       3623.80","       3618.04","    1747007","          6320734400.10","     105436"
